attack_method,epsilon,protocol_hint,attack_objective,target_label,query_budget,targeted_rows,targeted_successes,targeted_success_rate,queries_total,queries_mean,queries_p95,accepted_moves_mean,tp,tn,fp,fn,precision,recall,f1,fpr,n,n_benign,n_attack,asr_conditional,asr_conditional_num,asr_conditional_den,asr_all,asr_all_num,asr_all_den,fp_attack_rate,fp_attack_rate_num,fp_attack_rate_den,fp_attack_rate_conditional,fp_attack_rate_conditional_num,fp_attack_rate_conditional_den,benign_side_status,delta_f1,below_lower_violations,above_upper_violations,locked_change_rows,locked_change_max_abs,cap_violation_rows,relation_violation_rows,relation_min_avg_max_rows,relation_tot_num_avg_rows,relation_rate_rows
baseline,0.0,bluetooth,none,-1,0,0,0,0.0,0,0.0,0.0,0.0,4919,5000,0,81,1.0,0.9838,0.9918338542191754,0.0,10000,5000,5000,0.0,0,4919,0.0162,81,5000,0.0,0,5000,0.0,0,5000,available,0.0,0,0,0,0.0,0,0,0,0,0
baseline,0.0,mqtt,none,-1,0,0,0,0.0,0,0.0,0.0,0.0,4984,0,0,16,1.0,0.9968,0.998397435897436,0.0,5000,0,5000,0.0,0,4984,0.0032,16,5000,,0,0,,0,0,not_available,0.0,0,0,0,0.0,0,0,0,0,0
baseline,0.0,wifi,none,-1,0,0,0,0.0,0,0.0,0.0,0.0,4991,5000,0,9,1.0,0.9982,0.9990991892703432,0.0,10000,5000,5000,0.0,0,4991,0.0018,9,5000,0.0,0,5000,0.0,0,5000,available,0.0,0,0,0,0.0,0,0,0,0,0
query_sparse_hillclimb,0.0,bluetooth,malicious_evasion,1,300,5000,81,0.0162,0,0.0,0.0,0.0,4919,5000,0,81,1.0,0.9838,0.9918338542191754,0.0,10000,5000,5000,0.0,0,4919,0.0162,81,5000,0.0,0,5000,0.0,0,5000,available,0.0,0,0,0,0.0,0,0,0,0,0
query_sparse_hillclimb,0.0,mqtt,malicious_evasion,1,300,5000,16,0.0032,0,0.0,0.0,0.0,4984,0,0,16,1.0,0.9968,0.998397435897436,0.0,5000,0,5000,0.0,0,4984,0.0032,16,5000,,0,0,,0,0,not_available,0.0,0,0,0,0.0,0,0,0,0,0
query_sparse_hillclimb,0.0,wifi,malicious_evasion,1,300,5000,9,0.0018,0,0.0,0.0,0.0,4991,5000,0,9,1.0,0.9982,0.9990991892703432,0.0,10000,5000,5000,0.0,0,4991,0.0018,9,5000,0.0,0,5000,0.0,0,5000,available,0.0,0,0,0,0.0,0,0,0,0,0
query_sparse_hillclimb,0.01,bluetooth,malicious_evasion,1,300,5000,81,0.0162,1475700,295.14,300.0,0.0,4919,5000,0,81,1.0,0.9838,0.9918338542191754,0.0,10000,5000,5000,0.0,0,4919,0.0162,81,5000,0.0,0,5000,0.0,0,5000,available,0.0,0,0,0,0.0,0,0,0,0,0
query_sparse_hillclimb,0.01,mqtt,malicious_evasion,1,300,5000,29,0.0058,1491858,298.3716,300.0,6.2346,4971,0,0,29,1.0,0.9942,0.9970915655400662,0.0,5000,0,5000,0.002608346709470305,13,4984,0.0058,29,5000,,0,0,,0,0,not_available,-0.0013058703573698427,0,0,0,0.0,0,0,0,0,0
query_sparse_hillclimb,0.01,wifi,malicious_evasion,1,300,5000,10,0.002,1497026,299.4052,300.0,4.074,4990,5000,0,10,1.0,0.998,0.998998998998999,0.0,10000,5000,5000,0.0002003606491685033,1,4991,0.002,10,5000,0.0,0,5000,0.0,0,5000,available,-0.00010019027134422487,0,0,0,0.0,411,0,0,0,0
query_sparse_hillclimb,0.02,bluetooth,malicious_evasion,1,300,5000,81,0.0162,1475700,295.14,300.0,0.0,4919,5000,0,81,1.0,0.9838,0.9918338542191754,0.0,10000,5000,5000,0.0,0,4919,0.0162,81,5000,0.0,0,5000,0.0,0,5000,available,0.0,0,0,0,0.0,0,0,0,0,0
query_sparse_hillclimb,0.02,mqtt,malicious_evasion,1,300,5000,28,0.0056,1492022,298.4044,300.0,7.3874,4972,0,0,28,1.0,0.9944,0.9971921379863617,0.0,5000,0,5000,0.002407704654895666,12,4984,0.0056,28,5000,,0,0,,0,0,not_available,-0.0012052979110742656,0,0,0,0.0,0,0,0,0,0
query_sparse_hillclimb,0.02,wifi,malicious_evasion,1,300,5000,10,0.002,1497014,299.4028,300.0,5.5496,4990,5000,0,10,1.0,0.998,0.998998998998999,0.0,10000,5000,5000,0.0002003606491685033,1,4991,0.002,10,5000,0.0,0,5000,0.0,0,5000,available,-0.00010019027134422487,0,0,0,0.0,651,0,0,0,0
query_sparse_hillclimb,0.05,bluetooth,malicious_evasion,1,300,5000,81,0.0162,1475700,295.14,300.0,0.0,4919,5000,0,81,1.0,0.9838,0.9918338542191754,0.0,10000,5000,5000,0.0,0,4919,0.0162,81,5000,0.0,0,5000,0.0,0,5000,available,0.0,0,0,0,0.0,0,0,0,0,0
query_sparse_hillclimb,0.05,mqtt,malicious_evasion,1,300,5000,30,0.006,1491518,298.3036,300.0,7.8094,4970,0,0,30,1.0,0.994,0.9969909729187563,0.0,5000,0,5000,0.0028089887640449437,14,4984,0.006,30,5000,,0,0,,0,0,not_available,-0.0014064629786797456,0,0,0,0.0,303,0,0,0,0
query_sparse_hillclimb,0.05,wifi,malicious_evasion,1,300,5000,10,0.002,1497011,299.4022,300.0,7.4162,4990,5000,0,10,1.0,0.998,0.998998998998999,0.0,10000,5000,5000,0.0002003606491685033,1,4991,0.002,10,5000,0.0,0,5000,0.0,0,5000,available,-0.00010019027134422487,0,0,0,0.0,949,0,0,0,0
query_sparse_hillclimb,0.1,bluetooth,malicious_evasion,1,300,5000,81,0.0162,1475700,295.14,300.0,0.0,4919,5000,0,81,1.0,0.9838,0.9918338542191754,0.0,10000,5000,5000,0.0,0,4919,0.0162,81,5000,0.0,0,5000,0.0,0,5000,available,0.0,0,0,0,0.0,0,0,0,0,0
query_sparse_hillclimb,0.1,mqtt,malicious_evasion,1,300,5000,30,0.006,1491342,298.2684,300.0,8.8136,4970,0,0,30,1.0,0.994,0.9969909729187563,0.0,5000,0,5000,0.0028089887640449437,14,4984,0.006,30,5000,,0,0,,0,0,not_available,-0.0014064629786797456,0,0,0,0.0,62,0,0,0,0
query_sparse_hillclimb,0.1,wifi,malicious_evasion,1,300,5000,13,0.0026,1496406,299.2812,300.0,7.6776,4987,5000,0,13,1.0,0.9974,0.9986983078001402,0.0,10000,5000,5000,0.0008014425966740132,4,4991,0.0026,13,5000,0.0,0,5000,0.0,0,5000,available,-0.00040088147020300724,0,0,0,0.0,483,0,0,0,0
query_sparse_hillclimb_benign,0.0,bluetooth,benign_side_effect,0,150,5000,0,0.0,0,0.0,0.0,0.0,4919,5000,0,81,1.0,0.9838,0.9918338542191754,0.0,10000,5000,5000,0.0,0,4919,0.0162,81,5000,0.0,0,5000,0.0,0,5000,available,0.0,0,0,0,0.0,0,0,0,0,0
query_sparse_hillclimb_benign,0.0,mqtt,benign_side_effect,0,150,0,0,,0,,,,4984,0,0,16,1.0,0.9968,0.998397435897436,0.0,5000,0,5000,0.0,0,4984,0.0032,16,5000,,0,0,,0,0,not_available,0.0,0,0,0,0.0,0,0,0,0,0
query_sparse_hillclimb_benign,0.0,wifi,benign_side_effect,0,150,5000,0,0.0,0,0.0,0.0,0.0,4991,5000,0,9,1.0,0.9982,0.9990991892703432,0.0,10000,5000,5000,0.0,0,4991,0.0018,9,5000,0.0,0,5000,0.0,0,5000,available,0.0,0,0,0,0.0,0,0,0,0,0
query_sparse_hillclimb_benign,0.01,bluetooth,benign_side_effect,0,150,5000,0,0.0,750000,150.0,150.0,0.0,4919,5000,0,81,1.0,0.9838,0.9918338542191754,0.0,10000,5000,5000,0.0,0,4919,0.0162,81,5000,0.0,0,5000,0.0,0,5000,available,0.0,0,0,0,0.0,0,0,0,0,0
query_sparse_hillclimb_benign,0.01,mqtt,benign_side_effect,0,150,0,0,,0,,,,4984,0,0,16,1.0,0.9968,0.998397435897436,0.0,5000,0,5000,0.0,0,4984,0.0032,16,5000,,0,0,,0,0,not_available,0.0,0,0,0,0.0,0,0,0,0,0
query_sparse_hillclimb_benign,0.01,wifi,benign_side_effect,0,150,5000,1127,0.2254,616134,123.2268,150.0,0.6984,4991,3873,1127,9,0.8157894736842105,0.9982,0.8978233495232957,0.2254,10000,5000,5000,0.0,0,4991,0.0018,9,5000,0.2254,1127,5000,0.2254,1127,5000,available,-0.10127583974704757,0,0,0,0.0,1,0,0,0,0
query_sparse_hillclimb_benign,0.02,bluetooth,benign_side_effect,0,150,5000,0,0.0,750000,150.0,150.0,0.0,4919,5000,0,81,1.0,0.9838,0.9918338542191754,0.0,10000,5000,5000,0.0,0,4919,0.0162,81,5000,0.0,0,5000,0.0,0,5000,available,0.0,0,0,0,0.0,0,0,0,0,0
query_sparse_hillclimb_benign,0.02,mqtt,benign_side_effect,0,150,0,0,,0,,,,4984,0,0,16,1.0,0.9968,0.998397435897436,0.0,5000,0,5000,0.0,0,4984,0.0032,16,5000,,0,0,,0,0,not_available,0.0,0,0,0,0.0,0,0,0,0,0
query_sparse_hillclimb_benign,0.02,wifi,benign_side_effect,0,150,5000,1501,0.3002,572095,114.419,150.0,1.3344,4991,3499,1501,9,0.76879235982748,0.9982,0.8686042464323007,0.3002,10000,5000,5000,0.0,0,4991,0.0018,9,5000,0.3002,1501,5000,0.3002,1501,5000,available,-0.13049494283804253,0,0,0,0.0,3,0,0,0,0
query_sparse_hillclimb_benign,0.05,bluetooth,benign_side_effect,0,150,5000,0,0.0,750000,150.0,150.0,0.0012,4919,5000,0,81,1.0,0.9838,0.9918338542191754,0.0,10000,5000,5000,0.0,0,4919,0.0162,81,5000,0.0,0,5000,0.0,0,5000,available,0.0,0,0,0,0.0,0,0,0,0,0
query_sparse_hillclimb_benign,0.05,mqtt,benign_side_effect,0,150,0,0,,0,,,,4984,0,0,16,1.0,0.9968,0.998397435897436,0.0,5000,0,5000,0.0,0,4984,0.0032,16,5000,,0,0,,0,0,not_available,0.0,0,0,0,0.0,0,0,0,0,0
query_sparse_hillclimb_benign,0.05,wifi,benign_side_effect,0,150,5000,1726,0.3452,549900,109.98,150.0,1.6518,4991,3274,1726,9,0.7430400476403156,0.9982,0.8519245540667406,0.3452,10000,5000,5000,0.0,0,4991,0.0018,9,5000,0.3452,1726,5000,0.3452,1726,5000,available,-0.14717463520360263,0,0,0,0.0,1,0,0,0,0
query_sparse_hillclimb_benign,0.1,bluetooth,benign_side_effect,0,150,5000,0,0.0,750000,150.0,150.0,0.0382,4919,5000,0,81,1.0,0.9838,0.9918338542191754,0.0,10000,5000,5000,0.0,0,4919,0.0162,81,5000,0.0,0,5000,0.0,0,5000,available,0.0,0,0,0,0.0,0,0,0,0,0
query_sparse_hillclimb_benign,0.1,mqtt,benign_side_effect,0,150,0,0,,0,,,,4984,0,0,16,1.0,0.9968,0.998397435897436,0.0,5000,0,5000,0.0,0,4984,0.0032,16,5000,,0,0,,0,0,not_available,0.0,0,0,0,0.0,0,0,0,0,0
query_sparse_hillclimb_benign,0.1,wifi,benign_side_effect,0,150,5000,2329,0.4658,470063,94.0126,150.0,1.6024,4991,2671,2329,9,0.6818306010928962,0.9982,0.8102272727272726,0.4658,10000,5000,5000,0.0,0,4991,0.0018,9,5000,0.4658,2329,5000,0.4658,2329,5000,available,-0.18887191654307067,0,0,0,0.0,5,0,0,0,0
