protocol,model_name,family_id,family_name,family_description,seed,stage_name,num_gate_pass,gate_pass,gate_failure_category,gate_clean_fpr,gate_attacked_benign_fpr,gate_adv_malicious_recall,clean_fpr,attacked_benign_fpr,adv_malicious_recall,clean_f1,robust_f1,warm_threshold,selected_threshold,threshold_selection_mode,threshold_selected_adv_shortfall,val_benign_count,val_malicious_count,fpr_resolution,strict_fpr_feasible,split_seed_used,warm_model_device,robust_model_device,attack_source_mode,attack_source_detail_prefit,attack_source_detail_val,hardneg_weight,maladv_weight,extra_topk_per_epsilon,search_profile,search_train_benign_sample,search_train_malicious_sample,search_val_benign_sample,search_val_malicious_sample,search_query_budget_benign,search_query_budget_malicious,search_query_steps_benign,search_query_steps_malicious,search_query_candidates_benign,search_query_candidates_malicious,search_query_score_batch_benign,search_query_score_batch_malicious,n_aug_benign,n_aug_malicious,hardneg_cap_info,timing_seconds,files,final_rank
mqtt,xgboost,C,recall_priority_control,bluetooth_recovery_fallback_tuned,42,coarse,270,True,none,True,True,True,0.0,0.0,1.0,0.999822743225837,1.0,0.9230769230847097,0.99666654785491,gate_pass_lexicographic,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:mqtt_base,fixed_xgb:mqtt_base,1.9,2.1,500,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,881,2500,"{'enabled': False, 'protocol': 'mqtt', 'sampled_benign_count': 2500, 'max_fraction': 0.35, 'before_rows': 881, 'after_rows': 881, 'capped': False, 'max_allowed_rows': 881}","{'total': 16.417063236236572, 'warm_fit': 3.756431818008423, 'attack_gen': 9.110157489776611, 'robust_fit': 3.1628315448760986, 'threshold_eval': 0.36451292037963867}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_mqtt_xgboost_C_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_mqtt_xgboost_C_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_mqtt_xgboost_C_seed_42/attack_preview.csv', 'saved_model': ''}",1
mqtt,xgboost,A,fpr_priority,strict_flip_only_low_weight,42,coarse,277,True,none,True,True,True,0.0,0.0,0.999,0.9995626529237244,0.9994997498749374,0.9230769230847097,0.9966665478549488,gate_pass_lexicographic,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:mqtt_base,fixed_xgb:mqtt_base,1.5,1.5,0,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,381,2500,"{'enabled': False, 'protocol': 'mqtt', 'sampled_benign_count': 2500, 'max_fraction': 0.35, 'before_rows': 381, 'after_rows': 381, 'capped': False, 'max_allowed_rows': 381}","{'total': 15.927577018737793, 'warm_fit': 3.5181145668029785, 'attack_gen': 9.052196979522705, 'robust_fit': 3.1781296730041504, 'threshold_eval': 0.15545320510864258}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_mqtt_xgboost_A_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_mqtt_xgboost_A_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_mqtt_xgboost_A_seed_42/attack_preview.csv', 'saved_model': ''}",2
mqtt,catboost,A,fpr_priority,strict_flip_only_low_weight,42,coarse,272,True,none,True,True,True,0.0,0.0,0.99,0.9976670101017279,0.9949748743718593,0.8294314211562603,0.983333315395297,gate_pass_lexicographic,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:mqtt_base,fixed_xgb:mqtt_base,1.5,1.5,0,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,381,2500,"{'enabled': False, 'protocol': 'mqtt', 'sampled_benign_count': 2500, 'max_fraction': 0.35, 'before_rows': 381, 'after_rows': 381, 'capped': False, 'max_allowed_rows': 381}","{'total': 60.461360454559326, 'warm_fit': 25.458308935165405, 'attack_gen': 9.176893949508667, 'robust_fit': 25.448096752166748, 'threshold_eval': 0.3516204357147217}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_mqtt_catboost_A_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_mqtt_catboost_A_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_mqtt_catboost_A_seed_42/attack_preview.csv', 'saved_model': ''}",3
mqtt,catboost,C,recall_priority_control,bluetooth_recovery_fallback_tuned,42,coarse,288,True,none,True,True,True,2.653857381704307e-05,0.0,0.994,0.9988644965934899,0.9969909729187563,0.8963210528208929,0.9899999953569434,gate_pass_lexicographic,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:mqtt_base,fixed_xgb:mqtt_base,1.9,2.1,500,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,881,2500,"{'enabled': False, 'protocol': 'mqtt', 'sampled_benign_count': 2500, 'max_fraction': 0.35, 'before_rows': 881, 'after_rows': 881, 'capped': False, 'max_allowed_rows': 881}","{'total': 60.692474365234375, 'warm_fit': 25.528228044509888, 'attack_gen': 9.220570802688599, 'robust_fit': 25.560566902160645, 'threshold_eval': 0.35680222511291504}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_mqtt_catboost_C_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_mqtt_catboost_C_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_mqtt_catboost_C_seed_42/attack_preview.csv', 'saved_model': ''}",4
mqtt,catboost,B,balanced,strict_flips_limited_near_miss_moderate_weight,42,coarse,289,True,none,True,True,True,2.653857381704307e-05,0.0,0.994,0.9986276087265156,0.9969909729187563,0.8862876067586534,0.9933333313435558,gate_pass_lexicographic,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:mqtt_base,fixed_xgb:mqtt_base,2.0,2.0,500,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,881,2500,"{'enabled': False, 'protocol': 'mqtt', 'sampled_benign_count': 2500, 'max_fraction': 0.35, 'before_rows': 881, 'after_rows': 881, 'capped': False, 'max_allowed_rows': 881}","{'total': 60.47205352783203, 'warm_fit': 25.451601266860962, 'attack_gen': 9.148618698120117, 'robust_fit': 25.50212073326111, 'threshold_eval': 0.34398436546325684}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_mqtt_catboost_B_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_mqtt_catboost_B_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_mqtt_catboost_B_seed_42/attack_preview.csv', 'saved_model': ''}",5
mqtt,catboost,E,bluetooth_recovery_e,bluetooth_recovery_aggressive_recall,42,coarse,286,True,none,True,True,True,7.961572145112921e-05,0.0,0.994,0.9995745083207263,0.9969909729187563,0.9230769040858668,0.9699999920424582,gate_pass_lexicographic,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:mqtt_base,fixed_xgb:mqtt_base,2.25,2.75,500,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,881,2500,"{'enabled': False, 'protocol': 'mqtt', 'sampled_benign_count': 2500, 'max_fraction': 0.35, 'before_rows': 881, 'after_rows': 881, 'capped': False, 'max_allowed_rows': 881}","{'total': 60.6285514831543, 'warm_fit': 25.427412748336792, 'attack_gen': 9.138688802719116, 'robust_fit': 25.682129621505737, 'threshold_eval': 0.3538336753845215}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_mqtt_catboost_E_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_mqtt_catboost_E_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_mqtt_catboost_E_seed_42/attack_preview.csv', 'saved_model': ''}",6
mqtt,xgboost,D,bluetooth_recovery_d,bluetooth_recovery_conservative_plus,42,coarse,237,True,none,True,True,True,0.0,0.001,1.0,0.9998109238732245,0.9995002498750626,0.9230769230847097,0.9966665478551715,gate_pass_lexicographic,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:mqtt_base,fixed_xgb:mqtt_base,1.75,2.25,250,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,631,2500,"{'enabled': False, 'protocol': 'mqtt', 'sampled_benign_count': 2500, 'max_fraction': 0.35, 'before_rows': 631, 'after_rows': 631, 'capped': False, 'max_allowed_rows': 631}","{'total': 15.762646198272705, 'warm_fit': 3.3358404636383057, 'attack_gen': 9.10429334640503, 'robust_fit': 3.1248326301574707, 'threshold_eval': 0.15812230110168457}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_mqtt_xgboost_D_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_mqtt_xgboost_D_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_180757/candidates/coarse_mqtt_xgboost_D_seed_42/attack_preview.csv', 'saved_model': ''}",7
