protocol,model_name,family_id,family_name,family_description,seed,sampling_seed_used,stability_sampling_mode,stage_name,num_gate_pass,gate_pass,gate_failure_category,gate_clean_fpr,gate_attacked_benign_fpr,gate_adv_malicious_recall,clean_fpr,attacked_benign_fpr,adv_malicious_recall,clean_f1,robust_f1,warm_threshold,selected_threshold,threshold_selection_mode,threshold_selected_adv_shortfall,val_benign_count,val_malicious_count,fpr_resolution,strict_fpr_feasible,split_seed_used,warm_model_device,robust_model_device,attack_source_mode,attack_source_detail_prefit,attack_source_detail_val,hardneg_weight,maladv_weight,extra_topk_per_epsilon,search_profile,search_train_benign_sample,search_train_malicious_sample,search_val_benign_sample,search_val_malicious_sample,search_query_budget_benign,search_query_budget_malicious,search_query_steps_benign,search_query_steps_malicious,search_query_candidates_benign,search_query_candidates_malicious,search_query_score_batch_benign,search_query_score_batch_malicious,n_aug_benign,n_aug_malicious,hardneg_cap_info,timing_seconds,files,final_rank
wifi,catboost,D,bluetooth_recovery_d,bluetooth_recovery_conservative_plus,42,42,coarse,coarse,120,True,none,True,True,True,0.0009857072449482504,0.0,0.99,0.9967899026677903,0.9949748743718593,0.1036790026190119,0.4000000093449629,gate_pass_lexicographic,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:wifi_base,fixed_xgb:wifi_base,1.75,2.25,250,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,664,2500,"{'enabled': False, 'protocol': 'wifi', 'sampled_benign_count': 2500, 'max_fraction': 0.35, 'before_rows': 664, 'after_rows': 664, 'capped': False, 'max_allowed_rows': 664}","{'total': 78.27007794380188, 'warm_fit': 34.63096284866333, 'attack_gen': 8.544431447982788, 'robust_fit': 34.7513427734375, 'threshold_eval': 0.24865508079528809}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_wifi_catboost_D_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_wifi_catboost_D_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_wifi_catboost_D_seed_42/attack_preview.csv', 'saved_model': ''}",1
wifi,catboost,C,recall_priority_control,bluetooth_recovery_fallback_tuned,42,42,coarse,coarse,70,True,none,True,True,True,0.0014785608674223755,0.0,0.991,0.997293074514393,0.9954796584630838,0.09364553909312778,0.2833333950982729,gate_pass_lexicographic,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:wifi_base,fixed_xgb:wifi_base,1.9,2.1,500,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,914,2500,"{'enabled': False, 'protocol': 'wifi', 'sampled_benign_count': 2500, 'max_fraction': 0.35, 'before_rows': 914, 'after_rows': 914, 'capped': False, 'max_allowed_rows': 914}","{'total': 78.19968175888062, 'warm_fit': 34.627466678619385, 'attack_gen': 8.552929162979126, 'robust_fit': 34.678332805633545, 'threshold_eval': 0.2481553554534912}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_wifi_catboost_C_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_wifi_catboost_C_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_wifi_catboost_C_seed_42/attack_preview.csv', 'saved_model': ''}",2
wifi,catboost,B,balanced,strict_flips_limited_near_miss_moderate_weight,42,42,coarse,coarse,98,True,none,True,True,True,0.0014785608674223755,0.0,0.991,0.9970738232589247,0.9954796584630838,0.1204013746011065,0.46000008689449395,gate_pass_lexicographic,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:wifi_base,fixed_xgb:wifi_base,2.0,2.0,500,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,914,2500,"{'enabled': False, 'protocol': 'wifi', 'sampled_benign_count': 2500, 'max_fraction': 0.35, 'before_rows': 914, 'after_rows': 914, 'capped': False, 'max_allowed_rows': 914}","{'total': 78.22467494010925, 'warm_fit': 34.674396991729736, 'attack_gen': 8.563342332839966, 'robust_fit': 34.65075969696045, 'threshold_eval': 0.24358367919921875}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_wifi_catboost_B_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_wifi_catboost_B_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_wifi_catboost_B_seed_42/attack_preview.csv', 'saved_model': ''}",3
wifi,catboost,E,bluetooth_recovery_e,bluetooth_recovery_aggressive_recall,42,42,coarse,coarse,129,True,none,True,True,True,0.0014785608674223755,0.0,0.99,0.9970544729564602,0.9949748743718593,0.15719068293040006,0.45333343110975444,gate_pass_lexicographic,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:wifi_base,fixed_xgb:wifi_base,2.25,2.75,500,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,914,2500,"{'enabled': False, 'protocol': 'wifi', 'sampled_benign_count': 2500, 'max_fraction': 0.35, 'before_rows': 914, 'after_rows': 914, 'capped': False, 'max_allowed_rows': 914}","{'total': 80.26866292953491, 'warm_fit': 34.61595845222473, 'attack_gen': 8.530019760131836, 'robust_fit': 36.85193610191345, 'threshold_eval': 0.24640941619873047}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_wifi_catboost_E_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_wifi_catboost_E_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_wifi_catboost_E_seed_42/attack_preview.csv', 'saved_model': ''}",4
wifi,catboost,A,fpr_priority,strict_flip_only_low_weight,42,42,coarse,coarse,0,False,fpr_only,False,False,True,0.005914243469689502,0.009,0.99,0.9961187670165997,0.9904952476238119,0.1003344889844507,0.07333336801931159,no_pass_adv_priority,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:wifi_base,fixed_xgb:wifi_base,1.5,1.5,0,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,414,2500,"{'enabled': False, 'protocol': 'wifi', 'sampled_benign_count': 2500, 'max_fraction': 0.35, 'before_rows': 414, 'after_rows': 414, 'capped': False, 'max_allowed_rows': 414}","{'total': 79.37068033218384, 'warm_fit': 35.323402881622314, 'attack_gen': 8.564169645309448, 'robust_fit': 35.213343143463135, 'threshold_eval': 0.24525904655456543}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_wifi_catboost_A_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_wifi_catboost_A_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_wifi_catboost_A_seed_42/attack_preview.csv', 'saved_model': ''}",5
wifi,xgboost,E,bluetooth_recovery_e,bluetooth_recovery_aggressive_recall,42,42,coarse,coarse,0,False,fpr_only,False,False,True,0.011828486939379004,0.017,0.99,0.9969133817760916,0.9865470852017938,0.30101734166851735,0.16338009245654878,no_pass_adv_priority,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:wifi_base,fixed_xgb:wifi_base,2.25,2.75,500,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,914,2500,"{'enabled': False, 'protocol': 'wifi', 'sampled_benign_count': 2500, 'max_fraction': 0.35, 'before_rows': 914, 'after_rows': 914, 'capped': False, 'max_allowed_rows': 914}","{'total': 11.9176504611969, 'warm_fit': 1.6354689598083496, 'attack_gen': 8.427823066711426, 'robust_fit': 1.684342861175537, 'threshold_eval': 0.14675188064575195}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_wifi_xgboost_E_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_wifi_xgboost_E_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_wifi_xgboost_E_seed_42/attack_preview.csv', 'saved_model': ''}",6
wifi,xgboost,B,balanced,strict_flips_limited_near_miss_moderate_weight,42,42,coarse,coarse,0,False,fpr_only,False,False,True,0.016264169541646133,0.024,0.99,0.9969459857393608,0.9831181727904666,0.30101734166851735,0.14005719054082874,no_pass_adv_priority,0.0,1000,1000,0.001,True,42,cuda,cuda,fixed_xgb,fixed_xgb:wifi_base,fixed_xgb:wifi_base,2.0,2.0,500,"{'stage': 'coarse', 'hardneg_train_benign_sample': 2500, 'hardneg_train_malicious_sample': 2500, 'hardneg_val_benign_sample': 1000, 'val_malicious_sample': 1000, 'query_budget_benign': 24, 'query_max_steps_benign': 8, 'query_candidates_benign': 16, 'query_subset_benign': 3, 'query_score_batch_benign': 256, 'query_budget_mal': 24, 'query_max_steps_mal': 8, 'query_candidates_mal': 16, 'query_subset_mal': 3, 'query_score_batch_mal': 256, 'query_max_active_rows_benign': None, 'query_stagnation_patience_benign': None, 'query_stagnation_min_delta_benign': 1e-06, 'query_max_active_rows_mal': None, 'query_stagnation_patience_mal': None, 'query_stagnation_min_delta_mal': 1e-06}",2500,2500,1000,1000,24,24,8,8,16,16,256,256,914,2500,"{'enabled': False, 'protocol': 'wifi', 'sampled_benign_count': 2500, 'max_fraction': 0.35, 'before_rows': 914, 'after_rows': 914, 'capped': False, 'max_allowed_rows': 914}","{'total': 11.989529848098755, 'warm_fit': 1.6194021701812744, 'attack_gen': 8.380773544311523, 'robust_fit': 1.8227884769439697, 'threshold_eval': 0.14543437957763672}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_wifi_xgboost_B_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_wifi_xgboost_B_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_200922/candidates/coarse_wifi_xgboost_B_seed_42/attack_preview.csv', 'saved_model': ''}",7
